id;socle;partie;titres;chapitres;numero_article_isole;texte_integral;texte_simplifie;affichage_article;mots_cles
0;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE I Champ d'application conventionnel;1;"Article 1  Champ d'application professionnel
La présente convention collective régit les relations de travail entre les particuliers employeurs et leurs salariés.
Les relations de travail entre les particuliers employeurs et leurs salariés constituent une activité économique et sociale singulière, consacrée par l'application de la présente convention collective et dont le champ d'application y est spécifiquement dédié.
Sont ainsi couvertes par la présente convention collective, les activités caractérisées par les conditions cumulatives suivantes :
une relation contractuelle de travail entre deux personnes physiques ne revêtant pas, dans le cadre de cette relation de travail, la qualité d'entreprise commerciale ou civile, d'entrepreneur, de commerçant, d'artisan ou de profession libérale, à savoir :
un particulier employeur d'une part ;
et un salarié d'autre part.
une prestation de travail dont l'objet consiste à satisfaire des besoins relevant exclusivement de la vie personnelle du particulier employeur ;
une finalité de la relation de travail dépourvue pour le particulier employeur, de but lucratif subséquent à la prestation de travail dont l'objet est décrit plus haut ;
un ou plusieurs lieux spécifiques d'exercice du travail qui peuvent être :
le domicile privé du particulier employeur, au sens du code pénal, ou à proximité de celui-ci, ou tout autre lieu o˘ il réside ;
A titre ponctuel, tout ou partie de la prestation de travail peut être réalisée à distance par le salarié au moyen des Technologies de l'Information et de la Communication (TIC) ;
le bien à usage d'habitation non soumis à bail, occupé ou non par le particulier employeur dont il en possède la propriété ou la jouissance à quelque titre que ce soit ;
le domicile privé du salarié ou un tiers lieu expressément défini par le cadre légal et réglementaire pour les professions soumises à agrément.
La spécificité des activités couvertes, et plus particulièrement l'exclusion de toute entreprise de son champ d'application, rend singulière la présente convention collective. Dès lors, les dispositions de l'article L.2261- 23- 1 du code du travail, relatif aux entreprises de moins de cinquante salariés, ne lui sont pas applicables.";Cette convention collective définit les règles entre un particulier (l'employeur) et une personne qui travaille pour lui (le salarié). Le travail doit servir uniquement aux besoins personnels de l'employeur (pas pour une entreprise ou un commerce). Le travail se fait souvent à la maison du particulier ou au domicile du salarié (pour les assistants maternels). Ces règles sont spéciales car l'employeur n'est pas une entreprise.;Article 1  Champ d'application professionnel;Champ d’application
1;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE I Champ d'application conventionnel;2;"Article 2  Champ d'application géographique
Le champ d'application géographique de la présente convention collective vise le territoire métropolitain ainsi que les départements et régions d'outre-mer (DROM) suivants : Guadeloupe, Guyane, Martinique et la Réunion.
Pour les assistants maternels du particulier employeur, la présente convention collective est également applicable à Mayotte.
Pour les salariés du particulier employeur, la présente convention collective n'est pas applicable à Mayotte.";Applicable en métropole + DROM (Guadeloupe, Guyane, Martinique, Réunion) et à Mayotte (uniquement pour les assistants maternels). Exclut Mayotte pour les autres salariés.;Article 2  Champ d'application géographique;Géographie, étendue
2;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE II Modalités d'application;3;"Article 3  Durée
La présente convention collective est conclue pour une durée indéterminée.";;Article 3  Durée;durée, convention
3;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE II Modalités d'application;4;"Article 4  Conditions de suivi et clause de rendez-vous
Le suivi de la présente convention collective est assuré par la CPPNI visée à l'article 19 du présent socle commun.
Les partenaires sociaux conviennent de procéder, tous les trois (3) ans à compter de la date d'entrée en vigueur de la présente convention collective, à un état des lieux de son application et décider de l'opportunité d'engager une révision.";"Le suivi est assuré par la CPPNI (article 19).

Tous les 3 ans, les partenaires sociaux font un bilan et décident d’une révision si nécessaire.";Article 4  Conditions de suivi et clause de rendez-vous;Clause de rendez-vous, revoyure
4;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE II Modalités d'application;5;"Article 5  Révision
La révision peut porter sur l'intégralité du texte de la présente convention collective ou sur certaines de ses dispositions.
Toute demande de révision peut être effectuée par toute organisation syndicale de salariés et/ou d'employeurs disposant de cette compétence conformément aux dispositions légales. Celle-ci est portée devant la Commission Paritaire Permanente de Négociation et d'Interprétation (CPPNI) prévue à l'article 19 du présent socle commun, par lettre recommandée avec avis de réception. Cette demande est accompagnée de propositions écrites.
La CPPNI se réunit dans un délai de trois (3) mois à compter de la date de réception de la demande de révision.";Le texte de la convention doit être disponible pour le salarié. L'employeur doit informer le salarié qu'il peut consulter ce texte sur internet (Légifrance). Cela permet au salarié de bien connaître ses droits et ses devoirs dès le début de son contrat de travail.;Article 5  Révision;Révision
5;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE II Modalités d'application;6;"Article 6  Dénonciation
La dénonciation de la présente convention collective et de ses annexes peut être totale ou partielle.
La qualité pour dénoncer et la procédure afférente sont celles définies par les dispositions du code du travail en vigueur au jour de l'acte de dénonciation.";;Article 6  Dénonciation;Dénonciation
6;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE II Modalités d'application;7;"Article 7  Extension
Les parties signataires de la présente convention collective conviennent d'en demander l'extension.";Le particulier employeur doit respecter la vie privée du salarié. Il ne peut pas installer de caméras dans les zones privées (toilettes, chambre du salarié). Si des caméras existent pour la sécurité de la maison, le salarié doit être informé de leur présence et de leur but.;Article 7  Extension;Extension
7;SOCLE COMMUN;PARTIE  I - Dispositions générales CNN3239;---;CHAPITRE II Modalités d'application;8;"Article 8  Entrée en vigueur
La présente convention collective entre en vigueur à compter du premier jour du premier mois de l'année civile suivant celle au cours de laquelle intervient la publication de l'arrêté d'extension au Journal officiel.";;Article 8  Entrée en vigueur;Entrée en vigueur, date début
8;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE I Égalité de traitement entre les salariés et non-discrimination;9;"Article 9  Egalité de traitement
L'égalité de traitement entre les salariés est un principe essentiel du droit du travail et s'applique dans le cadre des relations de travail entre les particuliers employeurs et leurs salariés respectifs. Ainsi, les salariés bénéficient des mêmes droits.";;Article 9  Egalité de traitement;Égalité
9;SOCLE COMMUN;PARTIE II ÉGALITÉ PROFESSIONNELLE, NON DISCRIMINATION, LIBERTÉS INDIVIDUELLES ET EMPLOI DES TRAVAILLEURS HANDICAPÉS;---;CHAPITRE I Égalité de traitement entre les salariés et non-discrimination;10;"Article 10  Principe de non-discrimination
Les particuliers employeurs veilleront à l'application du principe de non-discrimination directe ou indirecte qui désigne l'interdiction de traiter moins favorablement une personne en raison de critères, réels ou supposés.
Ainsi, aucune personne ne peut être écartée d'une procédure de recrutement ou de l'accès à une période de formation.
Aucun salarié ne peut être sanctionné, ni faire l'objet d'une mesure entrainant la rupture de son contrat de travail ou de toute mesure discriminatoire directe ou indirecte fondée notamment sur son origine, son sexe, ses moeurs, son orientation sexuelle ou son identité de genre, son ‚ge, sa situation de famille ou sa grossesse, ses caractéristiques génétiques, son appartenance ou sa non-appartenance vraie ou supposée à une ethnie, une nation, une prétendue race, ses opinions politiques, ses activités syndicales ou mutualistes, ses convictions religieuses, son apparence physique, son patronyme, son lieu de résidence, son état de santé ou son handicap, sa capacité à s'exprimer dans une langue autre que le français. (1)";L'employeur ne doit pas traiter un salarié différemment à cause de son origine, son sexe, son âge, sa religion ou son physique. C'est la règle de non-discrimination. On ne peut pas refuser un recrutement ou une formation pour ces raisons. Un salarié ne peut pas être puni ou licencié à cause de sa vie privée, de sa santé ou de son handicap.;Article 10  Principe de non-discrimination;Discrimination
